#Table1
objid,u,g,r,i,z
1237668355109618473,19.30285,18.36347,18.1099,18.02377,18.04146
1237668355109618474,19.91078,18.93274,18.69221,18.6192,18.63404
1237668355109618475,20.67697,19.74049,19.47271,19.41292,19.3881
1237668355109618476,21.55204,20.64726,20.23944,20.16421,20.21823
1237668355109618477,21.89746,21.04325,20.49299,20.33793,20.54931
1237668355109618487,20.42149,19.55279,19.2904,19.20736,19.32479
1237668355109618488,21.89303,20.70187,20.44212,20.26756,20.04858
1237668355109618501,19.16811,18.22341,17.93725,17.8302,17.81702
1237668355109618502,21.6898,20.28614,19.85064,19.73049,20.01649
1237668355109618503,22.43417,21.36737,20.88503,20.84135,20.68555
1237668355109618504,24.23,22.05704,21.35914,21.16651,21.45818
1237668355109618505,23.80581,24.59042,22.09171,23.95047,21.83428
1237668355109618506,25.21111,22.37859,21.52005,21.52306,21.70311
1237668355109618507,24.46872,24.72766,24.04169,22.12708,21.90149
1237668355109618508,25.88084,23.85677,22.61065,22.11596,22.48183
1237668355109618511,19.84142,18.85377,18.64459,18.58506,18.54518
1237668355109618512,24.58847,22.39039,21.45113,21.20226,20.83685
1237668355109618515,22.35651,19.23428,17.90571,17.36351,17.06358
1237668355109618516,20.21361,19.20596,18.98562,18.89805,18.89801
1237668355109618519,19.71266,18.60309,18.19796,18.06205,17.97875
1237668355109618520,20.45558,19.47673,19.23248,19.17287,19.21709
1237668355109618521,25.73568,23.88187,21.54918,20.23596,19.69344
1237668355109618522,22.95819,21.77024,21.19441,20.94059,21.47383
1237668355109618523,24.22534,22.4876,21.85452,21.6475,22.52114
1237668355109618524,20.71622,19.95878,19.63084,19.57979,19.5682
1237668355109618525,20.4521,19.54027,19.27669,19.17447,19.22561
1237668355109618529,20.9745,19.97098,19.66957,19.58665,19.58454
1237668355109618530,21.03819,20.36466,20.01998,19.89626,19.93037
1237668355109618531,24.69293,24.46457,22.39387,22.42095,22.54265
1237668355109618532,24.05001,23.87757,22.95419,22.33034,22.46641
1237668355109618534,20.83974,19.87381,19.58881,19.52469,19.56643
1237668355109618538,19.7762,18.81092,18.57228,18.52376,18.54233
1237668355109618539,22.03587,20.73088,20.32266,20.20223,20.21006
1237668355109618540,24.29373,24.51341,22.60163,21.78454,22.13841
1237668355109618541,25.23731,23.76536,22.53092,22.15509,21.92858
1237668355109618544,19.57678,18.61558,18.37369,18.33119,18.29883
1237668355109618545,22.91694,21.44867,20.90195,20.46606,20.62722
1237668355109618546,23.77256,21.98738,21.22982,21.18262,20.84987
1237668355109618547,24.46243,22.79883,21.53699,21.07917,21.05661
1237668355109618548,25.97979,22.62443,21.89924,21.81124,21.00713
1237668355109618551,20.88509,19.91195,19.63623,19.55774,19.4985
1237668355109618554,20.89515,19.96022,19.58807,19.50097,19.42159
1237668355109618555,24.14495,24.47642,23.71484,21.37139,20.28244
1237668355109618565,20.40761,19.66129,19.34991,19.28049,19.29479
1237668355109618568,19.81484,18.8763,18.59397,18.49865,18.44975
1237668355109618569,20.90773,20.128,19.83069,19.72336,19.7338
1237668355109618581,20.49142,19.49526,19.22621,19.16421,19.1751
1237668355109618582,20.64544,19.69079,19.4313,19.36815,19.43284
1237668355109618583,22.06255,20.70237,20.23995,20.09153,20.1173
1237668355109618584,23.33597,21.34687,20.90171,20.71588,20.78103
1237668355109618585,23.4246,23.96163,23.3549,21.55518,22.04892
1237668355109618586,24.68019,24.63251,23.59194,22.32995,22.46581
1237668355109618587,25.09606,23.47074,22.37362,22.38456,22.28688
1237668355109618603,20.5643,19.05827,18.43175,18.21032,18.09023
1237668355109618604,23.87191,22.15892,21.60238,21.38235,21.73468
1237668355109618608,24.70014,22.08947,20.56605,19.10916,18.40342
1237668355109618609,20.53199,19.81381,19.54681,19.44357,19.4713
1237668355109618610,21.3813,20.3486,19.99075,19.8957,19.98497
1237668355109618621,19.16092,18.15815,18.09481,18.15602,18.22882
1237668355109618622,21.75614,20.78503,20.47567,20.17773,20.05862
1237668355109618623,24.01575,22.93551,21.41358,21.11203,20.9886
1237668355109618624,23.88129,24.0602,21.88714,21.76934,22.65757
1237668355109618659,19.87255,18.88152,18.63245,18.60739,18.61731
1237668355109618660,24.63461,21.34608,19.85023,18.91333,18.37241
1237668355109618661,21.83822,20.72541,20.16651,19.98617,19.9141
1237668355109618662,25.02098,22.24106,21.50185,21.20276,20.74595
1237668355109618678,22.96366,21.75672,20.97805,20.73661,20.57011
1237668355109618685,20.93156,19.86467,19.55182,19.44481,19.36286
1237668355109618742,22.2261,20.8913,19.71837,19.24529,18.98118
1237668355109618743,24.2892,24.40186,22.82016,21.89658,21.57474
1237668355109618779,23.56885,21.21756,19.82747,19.33505,19.03521
1237668355109618780,25.33129,21.64732,20.96069,20.84422,20.86706
1237668355109618781,24.03094,21.64858,21.38837,21.29778,20.86346
1237668355109618782,24.43499,23.22436,22.55923,22.04399,22.53824
1237668355109618864,21.80778,20.96813,20.5679,20.34647,20.47227
