#ID  X     Y     y      b-y       m1      err y   b-y       m1
3890 1024.22 229.62 19.8557 0.492252 0.24198 0.038 0.0636003 0.235646
3889 1015.93 229.97 19.1079 0.467508 0.265373 0.029 0.0462277 0.123454
3918 322.27 231.50 16.77 1.06033 -0.915497 0.093 0.094541 0.100305
3936 615.49 232.18 15.8226 0.605662 -0.141935 0.122 0.175385 0.286761
4061 95.21 239.81 17.0527 1.37479 -1.19766 0.124 0.134462 0.169387
4302 597.23 251.75 17.158 0.705669 -0.152843 0.113 0.153574 0.247132
4010 365.22 236.88 16.672 0.794335 -0.73685 0.104 0.136235 0.213338
4177 351.57 245.68 16.8756 1.04899 -0.828118 0.086 0.088295 0.096933
4417 953.77 256.18 16.7965 0.396369 -0.0881299 0.040 0.0558659 0.0901388
4396 693.53 256.77 18.4261 3.00995 69.7989 0.168 0.19654 99.9903
4525 838.45 263.10 17.7074 0.984039 -0.69338 0.090 0.0917824 0.104484
4760 1019.39 273.82 18.9476 0.42833 0.118171 0.032 0.0394081 0.0952313
4776 891.35 274.63 17.0806 0.516996 -0.201445 0.033 0.0366742 0.0501298
4778 974.66 275.63 19.0701 0.887125 -0.166093 0.074 0.0904434 0.168499
4902 691.12 282.05 17.4245 0.720103 -0.495065 0.078 0.09005 0.126965
5016 497.04 284.03 16.859 1.23663 -1.07769 0.111 0.12054 0.150087
4927 892.49 282.90 18.3185 0.987132 -0.61998 0.077 0.0841724 0.110241
4996 720.95 286.86 14.8133 0.567515 0.124765 0.011 0.0148661 0.0241868
4990 610.79 287.39 16.4357 0.312858 0.302331 0.086 0.123762 0.203431
5533 694.57 313.40 16.5892 0.654119 -0.333245 0.073 0.0879204 0.127973
5483 837.90 311.45 16.2793 0.391214 0.105816 0.092 0.126621 0.204636
5512 4.74 313.64 18.7311 0.798459 -0.619695 0.072 0.0800562 0.122409
5796 1000.71 326.81 16.5257 0.402555 0.605638 0.069 0.0982904 0.178205
6020 568.38 339.23 16.5115 1.016 -0.696825 0.115 0.131609 0.1754
6038 349.68 339.92 16.094 0.617003 -0.188408 0.084 0.106827 0.158947
6273 504.92 351.77 16.2257 1.64285 -1.59209 0.142 0.1778 0.267554
6367 323.22 355.94 16.414 1.23663 -1.00186 0.114 0.12256 0.150133
6370 539.58 358.30 16.8278 1.05518 -0.958679 0.147 0.176119 0.24954
6527 937.83 363.45 18.246 0.9129 -0.346269 0.088 0.093984 0.123434
6548 101.33 364.86 13.7692 0.652057 0.158907 0.017 0.0247588 0.0415812
6620 512.58 368.43 17.0063 1.03971 -0.762976 0.093 0.101637 0.129391
6678 455.71 371.07 16.7554 1.69027 -1.55878 0.157 0.183505 0.252535
6747 1024.30 374.08 20.2209 0.379873 73.3738 0.087 0.120934 99.9902
6776 1018.28 376.38 18.2075 0.368532 -0.161839 0.016 0.0233452 0.0556147
6779 128.73 377.42 14.5923 0.715979 -0.0734626 0.031 0.0336155 0.0416773
6849 940.99 378.71 18.0141 0.648964 -0.28863 0.051 0.0567979 0.0813757
6883 1011.98 380.65 20.7492 1.12529 71.3269 0.097 0.178631 99.9905
7102 406.92 387.57 16.265 0.765467 -0.459467 0.115 0.144807 0.217065
7089 852.86 390.40 18.8349 1.43974 72.5952 0.127 0.134737 99.9901
7461 665.46 408.97 17.0179 0.436578 0.692697 0.109 0.153444 0.245067
7131 724.71 397.82 15.9042 0.506686 0.59715 0.118 0.173358 0.280858
7703 899.60 420.29 18.8321 1.03353 -0.393965 0.071 0.0791581 0.174327
7624 332.62 417.57 16.5063 1.51294 74.769 0.136 0.142941 99.9901
7682 230.47 419.65 13.947 0.619065 -0.150782 0.025 0.028178 0.0383406
7724 12.60 423.02 16.6388 1.70471 74.2455 0.185 0.195433 99.9903
7765 887.54 423.30 17.5176 0.370594 0.251052 0.053 0.0763806 0.12484
8126 841.90 439.54 17.1048 0.406679 0.2429 0.073 0.107564 0.177733
8240 822.86 443.41 18.2669 1.11601 -0.452321 0.095 0.0990404 0.135074
8620 833.98 460.70 17.8482 1.00775 -0.708648 0.088 0.0923472 0.112076
9775 685.56 512.75 17.2287 0.993318 -0.854302 0.089 0.09272 0.107079
9074 628.67 482.58 15.8992 1.06755 -0.845663 0.115 0.132593 0.181268
9145 529.80 485.27 16.0299 0.261308 0.437946 0.131 0.182455 0.297881
9249 630.22 491.48 16.1272 0.79949 -0.351457 0.062 0.0697711 0.0925473
9528 377.25 504.47 13.4367 0.668553 0.0937593 0.027 0.0396232 0.0670298
9926 315.35 523.02 13.1714 0.512872 0.155307 0.079 0.113146 0.186013
10129 958.23 531.40 16.9164 0.424206 0.144684 0.045 0.0643506 0.104967
10335 786.54 540.31 16.9768 1.85111 -1.68789 0.137 0.139086 0.152584
10453 1019.52 546.34 17.4967 0.492252 -0.164084 0.033 0.0414005 0.0657115
11043 1015.89 571.80 18.9463 0.627313 -0.00925762 0.048 0.0576888 0.121918
11034 701.99 572.62 16.9466 1.34283 -1.14632 0.122 0.127201 0.146164
10995 5.71 570.76 16.5552 1.15518 -0.932672 0.078 0.101533 0.15843
11464 616.14 591.68 16.9734 2.34083 -2.08819 0.151 0.171828 0.240786
11532 996.72 594.52 19.0234 0.511841 0.518613 0.077 0.115434 0.235359
11620 349.39 598.92 15.1745 1.33973 -1.08403 0.093 0.104657 0.137674
11706 340.84 602.69 15.1387 1.31705 -0.884335 0.110 0.12042 0.153193
12182 709.30 624.52 15.572 0.705669 -0.31048 0.113 0.159101 0.261859
12295 54.59 630.46 15.2618 0.907745 -0.555069 0.128 0.163049 0.251539
12567 648.25 642.48 16.6015 0.838668 -1.0932 0.080 0.0927847 0.140926
13447 779.30 682.02 16.7006 0.724227 -0.271156 0.038 0.0395601 0.0491121
14219 716.77 717.52 16.0187 1.05105 -0.750584 0.087 0.099363 0.132763
14223 1017.60 717.93 17.8743 0.509779 0.164716 0.076 0.106075 0.170658
14370 1021.66 724.46 18.4762 0.918055 0.160844 0.103 0.122332 0.240035
14521 862.78 732.57 16.3019 0.615972 -0.0475892 0.081 0.105759 0.162791
14882 1019.47 747.55 18.0863 0.420082 -0.0991788 0.031 0.0386005 0.0701855
15222 882.66 772.43 14.0446 0.518027 -0.0449496 0.009 0.0108167 0.0161555
15512 95.72 777.96 13.3712 0.623189 -0.0146706 0.108 0.154871 0.252089
15738 1013.83 786.57 18.6244 0.452043 -0.0487479 0.028 0.0410366 0.0941966
16357 769.08 816.48 17.513 1.56037 -1.18155 0.122 0.125172 0.148287
16236 309.01 813.31 13.4207 0.786087 -0.249824 0.074 0.0898721 0.128876
17306 682.58 860.59 17.0486 2.67075 71.8654 0.152 0.161307 99.9902
17313 173.05 867.37 15.5314 1.27787 -1.06446 0.167 0.186046 0.242392
