# No	Ref	V	BV	UB	N
# --	---	-	--	--	-
0468	29	3.69	-0.11	-0.41	3
0468	262	3.70	-0.11	-0.40	2
0468	871	3.73	-0.106		3
0468	1091	3.70	-0.12	-0.40	6
0470	25	8.95	+0.39	+0.01	3
0470	909	8.957	+0.412	-0.018	5
0470	1044	8.86	+0.40		1
0476	25	10.81	+0.80	+0.27	2
0476	312	10.78	+0.80		1
0476	1044	10.80	+0.84		1
0489	3	10.37	+0.627	+0.13	2
0489	25	10.39	+0.63	+0.13	4
0489	144	10.42	+0.62		1
0513	25	13.76	+1.30	+1.39	1
0513	124	13.84	+1.31	+1.15	3
0513	271	13.77	+1.32		40
0514	25	10.69	+0.69	+0.17	3
0514	144	10.73	+0.70		1
0514	1044	10.73	+0.71		1
0522	25	11.93	+0.94	+0.61	2
0522	124	11.97	+0.92	+0.63	4
0522	132	11.97	+0.90		1
0530	25	8.95	+0.39	+0.02	3
0530	909	8.978	+0.384	-0.011	3
0531	3	8.57	+0.331	+0.16	2
0531	25	8.58	+0.34	+0.16	4
0541	3	5.64	-0.075	-0.36	6
0541	25	5.65	-0.07	-0.36	8
0541	268	4.76	-0.08	-0.31	0
0541	1091	5.65	-0.07	-0.36	8
0559	132	13.33	+1.11		1
0563	3	4.29	-0.106	-0.46	4
0563	25	4.31	-0.11	-0.46	4
0563	262	4.29	-0.11	-0.44	2
0563	268	4.39	-0.12	-0.39	1
0563	457	4.29	-0.115		1
0563	574	4.29	-0.12	-0.48	2
0563	871	4.30	-0.101		3
0563	1091	4.30	-0.11	-0.46	7
0571	25	11.20	+0.78	+0.30	3
0571	132	11.26	+0.78		1
0590	132	14.37	+1.36		1
0590	1051	14.34	+1.37		2
0605	3	8.98	+0.439	+0.08	2
0605	25	8.99	+0.44	+0.08	4
0624	132	15.28	+1.53		2
0624	304	15.27	+1.52		1
0625	25	12.57	+1.10	+0.76	1
0625	132	12.69	+1.19		3
0627	25	9.68	+0.50	+0.03	3
0627	1044	9.65	+0.52		1
0636	25	12.48	+1.06	+0.78	1
0636	132	12.40	+1.02		9
0649	496	11.94	+0.95	+0.34	2
0652	3	8.02	+0.216	+0.18	2
0652	25	8.04	+0.21	+0.18	4
0659	25	12.13	+0.95	+0.39	2
0659	132	12.04	+0.94		2
0676	25	13.56	+1.30	+1.26	1
0676	124	13.71	+1.31	+1.24	6
0676	132	13.64	+1.30		2
0676	909	13.936	+1.925		1
0686	359	13.67	+1.72		1
0686	1051	13.38	+1.27		1
0697	3	8.58	+0.352	+0.11	2
0697	25	8.60	+0.35	+0.11	4
0708	3	10.12	+0.602	+0.13	2
0708	25	10.13	+0.62	+0.13	4
0708	909	10.158	+0.616	+0.054	19
0717	3	7.16	+0.159	+0.08	3
0717	25	7.18	+0.16	+0.08	7
0727	3	9.70	+0.548	+0.05	2
0727	25	9.70	+0.55	+0.05	4
0727	1044	9.71	+0.56		1
0738	25	12.26	+1.16	+0.72	1
0738	132	12.30	+1.17		2
0738	909	12.359	+1.193	+0.792	1
0739	25	9.56	+0.62	+0.06	3
0739	132	9.57	+0.62		2
0739	1044	9.48	+0.63		1
0740	132	13.40	+1.06		1
0740	1043	13.45	+1.08	+0.95	3
0745	3	9.43	+0.520	+0.11	2
0745	25	9.45	+0.52	+0.11	4
0745	1044	9.46	+0.53		1
0746	25	11.27	+0.92	+0.23	2
0746	132	11.30	+0.77		1
0761	25	10.55	+0.67	+0.17	2
0761	1044	10.56	+0.71		1
0762	124	14.33	+1.42	+1.37	18
0762	132	14.23	+1.40		1
0762	442	14.33	+1.40		3
0785	3	3.86	-0.068	-0.40	4
0785	25	3.88	-0.07	-0.40	4
0785	262	3.87	-0.07	-0.38	2
0785	871	3.91	-0.078		2
0785	1091	3.87	-0.07	-0.40	7
0793	124	14.305	+1.40	+1.47	8
0793	132	14.27	+1.47		3
0793	304	14.31	+1.47		3
0793	1043	14.32	+1.33	+1.12	3
0799	124	13.71	+1.31	+1.07	3
0799	132	13.66	+1.34		3
0799	304	13.70	+1.34		3
0799	1043	13.61	+1.33	+1.20	5
0801	25	6.85	+0.04	+0.01	2
0801	909	6.838	+0.052	+0.022	5
0803	496	11.97	+1.42	+1.13	2
0804	3	7.84	+0.192	+0.16	2
0804	25	7.85	+0.20	+0.16	4
0804	909	7.845	+0.182	+0.201	20
0817	3	5.75	-0.044	-0.23	3
0817	25	5.76	-0.04	-0.23	5
0817	574	5.77	-0.04	-0.28	2
0817	909	5.773	-0.022	-0.230	28
0817	1091	5.76	-0.04	-0.23	5
0859	3	6.41	-0.028	-0.15	3
0859	25	6.43	-0.02	-0.15	7
0859	909	6.430	-0.015	-0.134	33
0859	1091	6.43	-0.02	-0.15	7
0865	25	16.01	+1.05		2
0870	132	12.61	+1.25		1
0879	124	12.82	+1.08	+0.97	9
0879	132	12.79	+1.07		2
0879	442	12.76	+1.06		2
0882	25	12.66	+1.07	+0.73	1
0882	132	12.95	+1.07		2
0883	124	13.05	+1.15	+1.06	9
0883	132	13.05	+1.08		2
0883	442	13.02	+1.12		2
0885	25	12.05	+1.01	+0.84	2
0885	132	12.08	+1.02		1
0906	132	15.20	+1.52		1
0915	25	13.62	+1.23		1
0915	132	13.79	+1.23		1
0916	25	11.71	+0.87	+0.48	2
0916	909	11.620	+0.869	+0.412	24
0923	25	10.12	+0.62	+0.09	3
0923	132	10.16	+0.61		2
0930	124	14.23	+1.34	+0.85	8
0930	442	14.22	+1.37		2
0945	25	13.29	+1.06	+0.97	1
0945	132	13.32	+1.02		1
0948	25	8.66	+0.60	+0.10	2
0948	909	8.685	+0.594	+0.067	5
0956	25	7.96	+0.32	+0.07	2
0974	124	13.86	+1.32	+1.225	10
0974	132	13.96	+1.34		1
0974	442	13.95	+1.34		2
0975	25	10.56	+0.81	+0.29	2
0975	312	10.58	+0.84		1
0980	3	4.16	-0.056	-0.43	3
0980	25	4.18	-0.06	-0.43	3
0980	29	4.18	-0.06	-0.41	3
0980	262	4.18	-0.06	-0.41	2
0980	871	4.18	-0.046		2
0980	1091	4.18	-0.06	-0.42	6
0992	496	12.26	+0.97	+0.48	2
0995	345	10.04	+0.87	+0.53	1
0996	3	10.42	+0.640	+0.15	2
0996	25	10.42	+0.64	+0.15	4
0996	144	10.42	+0.63		1
0996	909	10.453	+0.646	+0.107	39
0996	1044	10.40	+0.67		1
1008	345	10.04	+1.81	+2.17	1
1015	25	10.54	+0.65	+0.12	2
